,miRNA,ceRNA,species,database,type
8615,hsa-let-7a-5p,GZF1,Homo sapiens,RNAInter,miRNA-mRNA
8616,hsa-let-7a-5p,H19,Homo sapiens,RNAInter,miRNA-lncRNA
8617,hsa-let-7a-5p,H1F0,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8618,hsa-let-7a-5p,H2AFV,Homo sapiens,RNAInter,miRNA-mRNA
8619,hsa-let-7a-5p,H2BC12L,Homo sapiens,miRWalk,miRNA-mRNA
8620,hsa-let-7a-5p,H6PD,Homo sapiens,RNAInter,miRNA-mRNA
8621,hsa-let-7a-5p,HABP4,Homo sapiens,RNAInter,miRNA-mRNA
8622,hsa-let-7a-5p,HAGH,Homo sapiens,miRWalk,miRNA-mRNA
8623,hsa-let-7a-5p,HAND1,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA
8624,hsa-let-7a-5p,HAND2,Homo sapiens,RNAInter,miRNA-mRNA
8625,hsa-let-7a-5p,HAS2,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA
8626,hsa-let-7a-5p,HASPIN,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8627,hsa-let-7a-5p,HBEGF,Homo sapiens,RNAInter,miRNA-mRNA
8628,hsa-let-7a-5p,HCFC1R1,Homo sapiens,miRWalk,miRNA-mRNA
8629,hsa-let-7a-5p,HCFC2,Homo sapiens,RNAInter,miRNA-mRNA
8630,hsa-let-7a-5p,HCG18,Homo sapiens,RNAInter;ENCORI,miRNA-lncRNA
8631,hsa-let-7a-5p,HDAC3,Homo sapiens,RNAInter,miRNA-mRNA
8632,hsa-let-7a-5p,HDAC5,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8633,hsa-let-7a-5p,HDGFL2,Homo sapiens,miRWalk,miRNA-mRNA
8634,hsa-let-7a-5p,HDHD3,Homo sapiens,miRWalk,miRNA-mRNA
8635,hsa-let-7a-5p,HDLBP,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8636,hsa-let-7a-5p,HDX,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8637,hsa-let-7a-5p,HEATR3,Homo sapiens,RNAInter,miRNA-mRNA
8638,hsa-let-7a-5p,HECTD2,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8639,hsa-let-7a-5p,HECTD4,Homo sapiens,RNAInter,miRNA-mRNA
8640,hsa-let-7a-5p,HECW1,Homo sapiens,RNAInter,miRNA-mRNA
8641,hsa-let-7a-5p,HEG1,Homo sapiens,RNAInter,miRNA-mRNA
8642,hsa-let-7a-5p,HEIH,Homo sapiens,RNAInter;ENCORI,miRNA-lncRNA
8643,hsa-let-7a-5p,HELLPAR,Homo sapiens,RNAInter;ENCORI,miRNA-lncRNA
8644,hsa-let-7a-5p,HELLS,Homo sapiens,RNAInter,miRNA-mRNA
8645,hsa-let-7a-5p,HELZ,Homo sapiens,RNAInter,miRNA-mRNA
8646,hsa-let-7a-5p,HENMT1,Homo sapiens,RNAInter,miRNA-mRNA
8647,hsa-let-7a-5p,HEPH,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8648,hsa-let-7a-5p,HERC5,Homo sapiens,RNAInter,miRNA-mRNA
8649,hsa-let-7a-5p,HERPUD1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8650,hsa-let-7a-5p,HES3,Homo sapiens,miRWalk,miRNA-mRNA
8651,hsa-let-7a-5p,HESX1,Homo sapiens,miRWalk,miRNA-mRNA
8652,hsa-let-7a-5p,HEY2,Homo sapiens,miRWalk,miRNA-mRNA
8653,hsa-let-7a-5p,HFE,Homo sapiens,RNAInter,miRNA-mRNA
8654,hsa-let-7a-5p,HGF,Homo sapiens,RNAInter,miRNA-mRNA
8655,hsa-let-7a-5p,HIC1,Homo sapiens,RNAInter,miRNA-mRNA
8656,hsa-let-7a-5p,HIC2,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8657,hsa-let-7a-5p,HIF1A,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8658,hsa-let-7a-5p,HIF1AN,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8659,hsa-let-7a-5p,HIGD2B,Homo sapiens,miRWalk,miRNA-mRNA
8660,hsa-let-7a-5p,HINT3,Homo sapiens,RNAInter,miRNA-mRNA
8661,hsa-let-7a-5p,HIP1,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8662,hsa-let-7a-5p,HIPK1,Homo sapiens,RNAInter,miRNA-mRNA
8663,hsa-let-7a-5p,HIPK2,Homo sapiens,RNAInter,miRNA-mRNA
8664,hsa-let-7a-5p,HIST1H1D,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8665,hsa-let-7a-5p,HIST1H2BD,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8666,hsa-let-7a-5p,HIST1H2BK,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8667,hsa-let-7a-5p,HIST1H4D,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8668,hsa-let-7a-5p,HIST2H2BE,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8669,hsa-let-7a-5p,HIST2H2BF,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8670,hsa-let-7a-5p,HIVEP1,Homo sapiens,RNAInter,miRNA-mRNA
8671,hsa-let-7a-5p,HK1,Homo sapiens,RNAInter,miRNA-mRNA
8672,hsa-let-7a-5p,HK2,Homo sapiens,RNAInter,miRNA-mRNA
8673,hsa-let-7a-5p,HLA-DOB,Homo sapiens,miRWalk,miRNA-mRNA
8674,hsa-let-7a-5p,HLA-DRB5,Homo sapiens,miRWalk,miRNA-mRNA
8675,hsa-let-7a-5p,HLCS,Homo sapiens,miRWalk,miRNA-mRNA
8676,hsa-let-7a-5p,HM13,Homo sapiens,RNAInter,miRNA-mRNA
8677,hsa-let-7a-5p,HMBOX1,Homo sapiens,RNAInter,miRNA-mRNA
8678,hsa-let-7a-5p,HMBS,Homo sapiens,miRWalk,miRNA-mRNA
8679,hsa-let-7a-5p,HMG20A,Homo sapiens,RNAInter,miRNA-mRNA
8680,hsa-let-7a-5p,HMGA1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8681,hsa-let-7a-5p,HMGA2,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA
8682,hsa-let-7a-5p,HMGB1,Homo sapiens,miRWalk,miRNA-mRNA
8683,hsa-let-7a-5p,HMGB4,Homo sapiens,miRWalk,miRNA-mRNA
8684,hsa-let-7a-5p,HMGCR,Homo sapiens,RNAInter,miRNA-mRNA
8685,hsa-let-7a-5p,HMGCS1,Homo sapiens,RNAInter,miRNA-mRNA
8686,hsa-let-7a-5p,HMGN2,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8687,hsa-let-7a-5p,HMGXB4,Homo sapiens,RNAInter,miRNA-mRNA
8688,hsa-let-7a-5p,HMMR,Homo sapiens,RNAInter,miRNA-mRNA
8689,hsa-let-7a-5p,HMOX2,Homo sapiens,RNAInter,miRNA-mRNA
8690,hsa-let-7a-5p,HMX2,Homo sapiens,miRWalk,miRNA-mRNA
8691,hsa-let-7a-5p,HNF4G,Homo sapiens,miRWalk,miRNA-mRNA
8692,hsa-let-7a-5p,HNRNPA3,Homo sapiens,RNAInter,miRNA-mRNA
8693,hsa-let-7a-5p,HNRNPC,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8694,hsa-let-7a-5p,HNRNPDL,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8695,hsa-let-7a-5p,HNRNPF,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8696,hsa-let-7a-5p,HNRNPUL1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8697,hsa-let-7a-5p,HNRPDL,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
8698,hsa-let-7a-5p,HOMER1,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8699,hsa-let-7a-5p,HOMER2,Homo sapiens,RNAInter,miRNA-mRNA
8700,hsa-let-7a-5p,HOMEZ,Homo sapiens,RNAInter,miRNA-mRNA
8701,hsa-let-7a-5p,HOOK1,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8702,hsa-let-7a-5p,HOPX,Homo sapiens,miRWalk,miRNA-mRNA
8703,hsa-let-7a-5p,HOXA1,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8704,hsa-let-7a-5p,HOXA10,Homo sapiens,RNAInter,miRNA-mRNA
8705,hsa-let-7a-5p,HOXA11-AS,Homo sapiens,RNAInter;ENCORI,miRNA-lncRNA
8706,hsa-let-7a-5p,HOXA4,Homo sapiens,RNAInter,miRNA-mRNA
8707,hsa-let-7a-5p,HOXA5,Homo sapiens,RNAInter,miRNA-mRNA
8708,hsa-let-7a-5p,HOXA6,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8709,hsa-let-7a-5p,HOXA9,Homo sapiens,RNAInter,miRNA-mRNA
8710,hsa-let-7a-5p,HOXB4,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8711,hsa-let-7a-5p,HOXC11,Homo sapiens,RNAInter,miRNA-mRNA
8712,hsa-let-7a-5p,HOXC4,Homo sapiens,RNAInter;miRWalk;miRTarBase_9.0,miRNA-mRNA
8713,hsa-let-7a-5p,HOXC5,Homo sapiens,RNAInter,miRNA-mRNA
8714,hsa-let-7a-5p,HOXC8,Homo sapiens,RNAInter,miRNA-mRNA
8715,hsa-let-7a-5p,HOXD1,Homo sapiens,miRDB_6.0,miRNA-mRNA
8716,hsa-let-7a-5p,HOXD3,Homo sapiens,RNAInter,miRNA-mRNA
8717,hsa-let-7a-5p,HPCAL1,Homo sapiens,miRWalk,miRNA-mRNA
8718,hsa-let-7a-5p,HR,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8719,hsa-let-7a-5p,HRAS,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8720,hsa-let-7a-5p,HS2ST1,Homo sapiens,RNAInter,miRNA-mRNA
8721,hsa-let-7a-5p,HS3ST3A1,Homo sapiens,miRWalk,miRNA-mRNA
8722,hsa-let-7a-5p,HS6ST2,Homo sapiens,RNAInter,miRNA-mRNA
8723,hsa-let-7a-5p,HSD11B1L,Homo sapiens,miRWalk,miRNA-mRNA
8724,hsa-let-7a-5p,HSD17B11,Homo sapiens,RNAInter,miRNA-mRNA
8725,hsa-let-7a-5p,HSD17B4,Homo sapiens,miRWalk,miRNA-mRNA
8726,hsa-let-7a-5p,HSDL1,Homo sapiens,RNAInter,miRNA-mRNA
8727,hsa-let-7a-5p,HSF2,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8728,hsa-let-7a-5p,HSPA12A,Homo sapiens,miRWalk,miRNA-mRNA
8729,hsa-let-7a-5p,HSPA14,Homo sapiens,miRDB_6.0;miRWalk;RNAInter,miRNA-mRNA
8730,hsa-let-7a-5p,HSPA4L,Homo sapiens,RNAInter,miRNA-mRNA
8731,hsa-let-7a-5p,HSPA5,Homo sapiens,miRWalk,miRNA-mRNA
8732,hsa-let-7a-5p,HSPB7,Homo sapiens,RNAInter,miRNA-mRNA
8733,hsa-let-7a-5p,HSPE1-MOB4,Homo sapiens,RNAInter,miRNA-mRNA
8734,hsa-let-7a-5p,HSPG2,Homo sapiens,RNAInter,miRNA-mRNA
8735,hsa-let-7a-5p,HTATIP2,Homo sapiens,RNAInter,miRNA-mRNA
8736,hsa-let-7a-5p,HTR1D,Homo sapiens,miRWalk,miRNA-mRNA
8737,hsa-let-7a-5p,HTR2C,Homo sapiens,miRWalk,miRNA-mRNA
8738,hsa-let-7a-5p,HTR5A,Homo sapiens,miRWalk,miRNA-mRNA
8739,hsa-let-7a-5p,HTR7,Homo sapiens,miRWalk,miRNA-mRNA
8740,hsa-let-7a-5p,HTT,Homo sapiens,RNAInter,miRNA-mRNA
8741,hsa-let-7a-5p,HUWE1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8742,hsa-let-7a-5p,HYAL4,Homo sapiens,miRWalk,miRNA-mRNA
8743,hsa-let-7a-5p,HYKK,Homo sapiens,RNAInter,miRNA-mRNA
8744,hsa-let-7a-5p,IARS,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8745,hsa-let-7a-5p,IBSP,Homo sapiens,miRWalk,miRNA-mRNA
8746,hsa-let-7a-5p,IBTK,Homo sapiens,miRWalk,miRNA-mRNA
8747,hsa-let-7a-5p,ICAM1,Homo sapiens,RNAInter,miRNA-mRNA
8748,hsa-let-7a-5p,ICK,Homo sapiens,RNAInter,miRNA-mRNA
8749,hsa-let-7a-5p,ICMT,Homo sapiens,RNAInter,miRNA-mRNA
8750,hsa-let-7a-5p,ICOSLG,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8751,hsa-let-7a-5p,IDE,Homo sapiens,RNAInter,miRNA-mRNA
8752,hsa-let-7a-5p,IDH2,Homo sapiens,RNAInter,miRNA-mRNA
8753,hsa-let-7a-5p,IDH3A,Homo sapiens,RNAInter,miRNA-mRNA
8754,hsa-let-7a-5p,IER2,Homo sapiens,miRWalk,miRNA-mRNA
8755,hsa-let-7a-5p,IER3-AS1,Homo sapiens,RNAInter;ENCORI,miRNA-lncRNA
8756,hsa-let-7a-5p,IFI44L,Homo sapiens,RNAInter,miRNA-mRNA
8757,hsa-let-7a-5p,IFIT3,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8758,hsa-let-7a-5p,IFITM10,Homo sapiens,RNAInter,miRNA-mRNA
8759,hsa-let-7a-5p,IFNAR1,Homo sapiens,RNAInter,miRNA-mRNA
8760,hsa-let-7a-5p,IFNB1,Homo sapiens,RNAInter,miRNA-mRNA
8761,hsa-let-7a-5p,IFNGR1,Homo sapiens,RNAInter,miRNA-mRNA
8762,hsa-let-7a-5p,IFNLR1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8763,hsa-let-7a-5p,IFT140,Homo sapiens,miRWalk,miRNA-mRNA
8764,hsa-let-7a-5p,IFT172,Homo sapiens,RNAInter,miRNA-mRNA
8765,hsa-let-7a-5p,IFT27,Homo sapiens,RNAInter,miRNA-mRNA
8766,hsa-let-7a-5p,IFT80,Homo sapiens,RNAInter,miRNA-mRNA
8767,hsa-let-7a-5p,IGDCC3,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8768,hsa-let-7a-5p,IGDCC4,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA
8769,hsa-let-7a-5p,IGF1,Homo sapiens,RNAInter,miRNA-mRNA
8770,hsa-let-7a-5p,IGF1R,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA
8771,hsa-let-7a-5p,IGF2,Homo sapiens,RNAInter;miRWalk;miRTarBase_9.0,miRNA-mRNA
8772,hsa-let-7a-5p,IGF2BP1,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA
8773,hsa-let-7a-5p,IGF2BP2,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8774,hsa-let-7a-5p,IGF2BP3,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA
8775,hsa-let-7a-5p,IGFN1,Homo sapiens,miRWalk,miRNA-mRNA
8776,hsa-let-7a-5p,IGSF3,Homo sapiens,RNAInter,miRNA-mRNA
8777,hsa-let-7a-5p,IGSF5,Homo sapiens,miRWalk,miRNA-mRNA
8778,hsa-let-7a-5p,IHO1,Homo sapiens,miRWalk,miRNA-mRNA
8779,hsa-let-7a-5p,IKBKE,Homo sapiens,RNAInter,miRNA-mRNA
8780,hsa-let-7a-5p,IKZF2,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8781,hsa-let-7a-5p,IKZF3,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8782,hsa-let-7a-5p,IKZF4,Homo sapiens,RNAInter,miRNA-mRNA
8783,hsa-let-7a-5p,IL10,Homo sapiens,RNAInter,miRNA-mRNA
8784,hsa-let-7a-5p,IL10RB,Homo sapiens,RNAInter,miRNA-mRNA
8785,hsa-let-7a-5p,IL11RA,Homo sapiens,RNAInter,miRNA-mRNA
8786,hsa-let-7a-5p,IL12RB2,Homo sapiens,miRWalk,miRNA-mRNA
8787,hsa-let-7a-5p,IL13,Homo sapiens,miRDB_6.0;miRWalk;RNAInter,miRNA-mRNA
8788,hsa-let-7a-5p,IL15,Homo sapiens,RNAInter,miRNA-mRNA
8789,hsa-let-7a-5p,IL16,Homo sapiens,RNAInter,miRNA-mRNA
8790,hsa-let-7a-5p,IL17B,Homo sapiens,miRWalk,miRNA-mRNA
8791,hsa-let-7a-5p,IL19,Homo sapiens,miRWalk,miRNA-mRNA
8792,hsa-let-7a-5p,IL1R1,Homo sapiens,RNAInter,miRNA-mRNA
8793,hsa-let-7a-5p,IL1RAPL2,Homo sapiens,miRWalk,miRNA-mRNA
8794,hsa-let-7a-5p,IL1RL1,Homo sapiens,miRWalk,miRNA-mRNA
8795,hsa-let-7a-5p,IL1RN,Homo sapiens,RNAInter,miRNA-mRNA
8796,hsa-let-7a-5p,IL22RA1,Homo sapiens,RNAInter,miRNA-mRNA
8797,hsa-let-7a-5p,IL24,Homo sapiens,miRWalk,miRNA-mRNA
8798,hsa-let-7a-5p,IL2RB,Homo sapiens,RNAInter,miRNA-mRNA
8799,hsa-let-7a-5p,IL31RA,Homo sapiens,miRWalk,miRNA-mRNA
8800,hsa-let-7a-5p,IL34,Homo sapiens,miRWalk,miRNA-mRNA
8801,hsa-let-7a-5p,IL4R,Homo sapiens,miRWalk,miRNA-mRNA
8802,hsa-let-7a-5p,IL6,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8803,hsa-let-7a-5p,IL6R,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8804,hsa-let-7a-5p,ILF3,Homo sapiens,RNAInter,miRNA-mRNA
8805,hsa-let-7a-5p,ILKAP,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8806,hsa-let-7a-5p,ILRUN,Homo sapiens,RNAInter,miRNA-mRNA
8807,hsa-let-7a-5p,IMMP2L,Homo sapiens,miRWalk,miRNA-mRNA
8808,hsa-let-7a-5p,IMP4,Homo sapiens,miRWalk,miRNA-mRNA
8809,hsa-let-7a-5p,IMPACT,Homo sapiens,RNAInter,miRNA-mRNA
8810,hsa-let-7a-5p,IMPAD1,Homo sapiens,RNAInter,miRNA-mRNA
8811,hsa-let-7a-5p,IMPDH1,Homo sapiens,RNAInter,miRNA-mRNA
8812,hsa-let-7a-5p,IMPG2,Homo sapiens,miRDB_6.0,miRNA-mRNA
8813,hsa-let-7a-5p,INCA1,Homo sapiens,miRWalk,miRNA-mRNA
8814,hsa-let-7a-5p,INF2,Homo sapiens,RNAInter,miRNA-mRNA
8815,hsa-let-7a-5p,ING5,Homo sapiens,miRWalk,miRNA-mRNA
8816,hsa-let-7a-5p,INHA,Homo sapiens,miRWalk,miRNA-mRNA
8817,hsa-let-7a-5p,INO80,Homo sapiens,RNAInter,miRNA-mRNA
8818,hsa-let-7a-5p,INO80D,Homo sapiens,RNAInter,miRNA-mRNA
8819,hsa-let-7a-5p,INPP1,Homo sapiens,miRWalk,miRNA-mRNA
8820,hsa-let-7a-5p,INPP5A,Homo sapiens,RNAInter,miRNA-mRNA
8821,hsa-let-7a-5p,INPP5F,Homo sapiens,RNAInter,miRNA-mRNA
8822,hsa-let-7a-5p,INPP5K,Homo sapiens,miRWalk,miRNA-mRNA
8823,hsa-let-7a-5p,INPPL1,Homo sapiens,RNAInter,miRNA-mRNA
8824,hsa-let-7a-5p,INS-IGF2,Homo sapiens,RNAInter,miRNA-mRNA
8825,hsa-let-7a-5p,INSIG1,Homo sapiens,RNAInter,miRNA-mRNA
8826,hsa-let-7a-5p,INSIG2,Homo sapiens,RNAInter,miRNA-mRNA
8827,hsa-let-7a-5p,INSR,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8828,hsa-let-7a-5p,INSYN2A,Homo sapiens,miRWalk,miRNA-mRNA
8829,hsa-let-7a-5p,INTS12,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8830,hsa-let-7a-5p,INTS2,Homo sapiens,RNAInter,miRNA-mRNA
8831,hsa-let-7a-5p,INTS3,Homo sapiens,miRWalk,miRNA-mRNA
8832,hsa-let-7a-5p,INTS6L,Homo sapiens,RNAInter,miRNA-mRNA
8833,hsa-let-7a-5p,INTS7,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8834,hsa-let-7a-5p,IP6K2,Homo sapiens,RNAInter,miRNA-mRNA
8835,hsa-let-7a-5p,IPO11,Homo sapiens,miRWalk,miRNA-mRNA
8836,hsa-let-7a-5p,IPO4,Homo sapiens,RNAInter,miRNA-mRNA
8837,hsa-let-7a-5p,IPO7,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8838,hsa-let-7a-5p,IPO9,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8839,hsa-let-7a-5p,IQANK1,Homo sapiens,RNAInter,miRNA-mRNA
8840,hsa-let-7a-5p,IQCB1,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8841,hsa-let-7a-5p,IQCG,Homo sapiens,miRWalk,miRNA-mRNA
8842,hsa-let-7a-5p,IQCH-AS1,Homo sapiens,RNAInter;ENCORI,miRNA-lncRNA
8843,hsa-let-7a-5p,IQCK,Homo sapiens,RNAInter,miRNA-mRNA
8844,hsa-let-7a-5p,IQGAP1,Homo sapiens,RNAInter,miRNA-mRNA
8845,hsa-let-7a-5p,IQGAP2,Homo sapiens,RNAInter,miRNA-mRNA
8846,hsa-let-7a-5p,IRAG1,Homo sapiens,miRWalk,miRNA-mRNA
8847,hsa-let-7a-5p,IREB2,Homo sapiens,RNAInter,miRNA-mRNA
8848,hsa-let-7a-5p,IRF1,Homo sapiens,miRWalk,miRNA-mRNA
8849,hsa-let-7a-5p,IRF2,Homo sapiens,RNAInter,miRNA-mRNA
8850,hsa-let-7a-5p,IRF2BP2,Homo sapiens,miRWalk,miRNA-mRNA
8851,hsa-let-7a-5p,IRF4,Homo sapiens,RNAInter,miRNA-mRNA
8852,hsa-let-7a-5p,IRGM,Homo sapiens,miRWalk,miRNA-mRNA
8853,hsa-let-7a-5p,IRGQ,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8854,hsa-let-7a-5p,IRS2,Homo sapiens,miRDB_6.0;RNAInter,miRNA-mRNA
8855,hsa-let-7a-5p,IRX3,Homo sapiens,miRWalk,miRNA-mRNA
8856,hsa-let-7a-5p,ISCA2,Homo sapiens,RNAInter,miRNA-mRNA
8857,hsa-let-7a-5p,ISL1,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8858,hsa-let-7a-5p,ITCH,Homo sapiens,RNAInter,miRNA-mRNA
8859,hsa-let-7a-5p,ITGA1,Homo sapiens,RNAInter,miRNA-mRNA
8860,hsa-let-7a-5p,ITGA11,Homo sapiens,RNAInter,miRNA-mRNA
8861,hsa-let-7a-5p,ITGA2B,Homo sapiens,RNAInter,miRNA-mRNA
8862,hsa-let-7a-5p,ITGA3,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8863,hsa-let-7a-5p,ITGA5,Homo sapiens,RNAInter,miRNA-mRNA
8864,hsa-let-7a-5p,ITGAL,Homo sapiens,RNAInter,miRNA-mRNA
8865,hsa-let-7a-5p,ITGAV,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
8866,hsa-let-7a-5p,ITGB3,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA
8867,hsa-let-7a-5p,ITGB8,Homo sapiens,RNAInter,miRNA-mRNA
8868,hsa-let-7a-5p,ITIH1,Homo sapiens,RNAInter,miRNA-mRNA
8869,hsa-let-7a-5p,ITM2B,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8870,hsa-let-7a-5p,ITPK1,Homo sapiens,miRWalk,miRNA-mRNA
8871,hsa-let-7a-5p,ITPKC,Homo sapiens,RNAInter,miRNA-mRNA
8872,hsa-let-7a-5p,ITPRID2,Homo sapiens,RNAInter,miRNA-mRNA
8873,hsa-let-7a-5p,ITPRIPL2,Homo sapiens,RNAInter,miRNA-mRNA
8874,hsa-let-7a-5p,ITSN1,Homo sapiens,RNAInter,miRNA-mRNA
8875,hsa-let-7a-5p,ITSN2,Homo sapiens,RNAInter,miRNA-mRNA
8876,hsa-let-7a-5p,IVD,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8877,hsa-let-7a-5p,IVL,Homo sapiens,miRWalk,miRNA-mRNA
8878,hsa-let-7a-5p,IVNS1ABP,Homo sapiens,miRWalk,miRNA-mRNA
8879,hsa-let-7a-5p,JADE3,Homo sapiens,RNAInter,miRNA-mRNA
8880,hsa-let-7a-5p,JAG1,Homo sapiens,RNAInter,miRNA-mRNA
8881,hsa-let-7a-5p,JARID2,Homo sapiens,RNAInter,miRNA-mRNA
8882,hsa-let-7a-5p,JAZF1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
8883,hsa-let-7a-5p,JKAMP,Homo sapiens,miRWalk,miRNA-mRNA
8884,hsa-let-7a-5p,JMJD4,Homo sapiens,RNAInter,miRNA-mRNA
8885,hsa-let-7a-5p,JOSD1,Homo sapiens,RNAInter,miRNA-mRNA
8886,hsa-let-7a-5p,JPH1,Homo sapiens,RNAInter,miRNA-mRNA
8887,hsa-let-7a-5p,JPH4,Homo sapiens,RNAInter;miRWalk;miRTarBase_9.0,miRNA-mRNA
8888,hsa-let-7a-5p,JRK,Homo sapiens,RNAInter,miRNA-mRNA
8889,hsa-let-7a-5p,JSRP1,Homo sapiens,miRWalk,miRNA-mRNA
8890,hsa-let-7a-5p,JUNB,Homo sapiens,RNAInter,miRNA-mRNA
8891,hsa-let-7a-5p,JUP,Homo sapiens,RNAInter,miRNA-mRNA
8892,hsa-let-7a-5p,KANK4,Homo sapiens,miRWalk,miRNA-mRNA
8893,hsa-let-7a-5p,KANSL3,Homo sapiens,RNAInter,miRNA-mRNA
8894,hsa-let-7a-5p,KAT14,Homo sapiens,miRWalk,miRNA-mRNA
8895,hsa-let-7a-5p,KAT2B,Homo sapiens,RNAInter,miRNA-mRNA
8896,hsa-let-7a-5p,KAT6A,Homo sapiens,RNAInter,miRNA-mRNA
8897,hsa-let-7a-5p,KATNAL1,Homo sapiens,RNAInter,miRNA-mRNA
8898,hsa-let-7a-5p,KATNBL1,Homo sapiens,RNAInter,miRNA-mRNA
8899,hsa-let-7a-5p,KBTBD6,Homo sapiens,RNAInter,miRNA-mRNA
8900,hsa-let-7a-5p,KBTBD8,Homo sapiens,RNAInter,miRNA-mRNA
8901,hsa-let-7a-5p,KCMF1,Homo sapiens,RNAInter,miRNA-mRNA
8902,hsa-let-7a-5p,KCNA3,Homo sapiens,miRWalk,miRNA-mRNA
8903,hsa-let-7a-5p,KCNA4,Homo sapiens,miRWalk,miRNA-mRNA
8904,hsa-let-7a-5p,KCNAB1,Homo sapiens,miRWalk,miRNA-mRNA
8905,hsa-let-7a-5p,KCNAB2,Homo sapiens,miRWalk,miRNA-mRNA
8906,hsa-let-7a-5p,KCNAB3,Homo sapiens,miRWalk,miRNA-mRNA
